class_id,class,IoU,Dice
0,Background / waterbody,0.7879680229374415,0.8814117622113775
1,Human divers,0.583887811427719,0.7372843041217693
2,Aquatic plants / sea-grass,0.16923314144736842,0.2894771546380876
3,Wrecks / ruins,0.7198704938072283,0.8371217442235102
4,Robots / instruments,0.0,0.0
5,Reefs / invertebrates,0.29833229814819634,0.45956231478444454
6,Fish / vertebrates,0.1393013205861761,0.2445381534614651
7,Sea-floor / rocks,0.5260942985577379,0.6894649944697815
