setting,ECE,AURC,mean_confidence,mIoU
Raw,0.0996596426150063,0.0689122756425399,0.9029073119163513,0.40308592336398347
Temperature scaled (T=1.881),0.025834777678276386,0.06922647199711661,0.7774131894111633,0.40308592336398347
