experiment,epoch,lr,train_loss,val_loss,train_miou,val_miou,train_dice,val_dice,elapsed_sec
experiment_01_baseline_ce_dice,1,0.00029882114784651444,2.2317355115961584,1.7999569465374123,0.3392469703081732,0.4782917114365693,0.4784022078724675,0.6232064546865048,52.55781451800067
experiment_01_baseline_ce_dice,2,0.00029530318258873034,1.7993593030834791,1.7384184722242684,0.46492913028016236,0.4511571587501365,0.618608942302036,0.6006796739496353,99.84623219200148
experiment_01_baseline_ce_dice,3,0.0002895015846402936,1.6425119009077178,1.6978706696937824,0.5134021378361703,0.47727666261856655,0.6668963308278858,0.6228453189436379,145.8944587570004
experiment_01_baseline_ce_dice,4,0.0002815078486665576,1.524914258755512,1.6863682228943397,0.5565443212756223,0.5129561394899835,0.7025476151468238,0.652941030174604,190.81577484600166
experiment_01_baseline_ce_dice,5,0.00027144804065905466,1.4324848222436373,1.5671735056515397,0.5921579598922401,0.5539856494091053,0.7351322292548723,0.6939426072141195,237.61965218000114
experiment_01_baseline_ce_dice,6,0.00025948080979950103,1.3724906170590323,1.6125731550413986,0.6082155119392437,0.5489546395035418,0.7480330052078372,0.6929373291319636,282.64626984500137
experiment_01_baseline_ce_dice,7,0.0002457948864674291,1.2971804641788791,1.650545260001873,0.6404405242838566,0.5210866171379015,0.7742571854875276,0.6677931841482918,327.689515692
experiment_01_baseline_ce_dice,8,0.00023060610584935994,1.2325407773811625,1.66508411539012,0.6592557307923883,0.54305615066777,0.7897648139440936,0.6844772365256409,372.3818891490009
experiment_01_baseline_ce_dice,9,0.00021415400408897832,1.2033758800222267,1.6602022257344475,0.6749787489130274,0.5377585159810747,0.8010603861836332,0.6825451819239079,418.9444949500012
experiment_01_baseline_ce_dice,10,0.0001966980406590546,1.159068591476227,1.5919611084050145,0.6922760577666942,0.5664678958619034,0.8138061756520485,0.7056361035365836,463.549905752001
experiment_01_baseline_ce_dice,11,0.00017851350653056583,1.1237534832510148,1.5917291928981911,0.7053537639021528,0.5640293531103947,0.8234035578354495,0.7009148436847162,508.48037030700107
experiment_01_baseline_ce_dice,12,0.00015988718266963235,1.0832378786543142,1.5910630822181702,0.717336198860531,0.561614235823528,0.8311695352765562,0.7012902248636442,553.6224593940005
experiment_01_baseline_ce_dice,13,0.00014111281733036765,1.0513899929775214,1.6027097804792996,0.7364923655578351,0.562084389089285,0.8448974198650153,0.6991350646225072,599.6838741910015
experiment_01_baseline_ce_dice,14,0.00012248649346943417,1.0420033902114962,1.6120446961501549,0.7349922533998796,0.5732417199157896,0.8437031327740538,0.7100430329087238,644.6787600020016
experiment_01_baseline_ce_dice,15,0.0001043019593409454,1.0325226631964215,1.6686551077612515,0.7415070481229072,0.5716004554918999,0.8483025763923515,0.7052819563161016,689.9644806630004
experiment_01_baseline_ce_dice,16,8.684599591102163e-05,1.0010745803021497,1.6578427820370114,0.7567961159820049,0.5718784982322029,0.8587292452162603,0.7045370971200873,734.4680275340015
experiment_01_baseline_ce_dice,17,7.039389415063997e-05,0.9911825127483155,1.6182693859626507,0.7579337102550879,0.5731167374757355,0.8593514042997306,0.7059586940080376,780.0992825140002
experiment_01_baseline_ce_dice,18,5.520511353257088e-05,0.9694067261974264,1.615917731975687,0.7636935263589784,0.573515688834767,0.8632406404742613,0.7061361134692309,825.4906694400015
experiment_01_baseline_ce_dice,19,4.151919020049901e-05,0.9477294753797306,1.659392813156391,0.7624286914245513,0.5763079585024202,0.8622048855821505,0.7092964500068502,870.7300475010015
experiment_01_baseline_ce_dice,20,2.9551959340945376e-05,0.9431249847323258,1.6528944311470821,0.7723333221020616,0.5791736375480373,0.8688924616538367,0.7102639449605134,915.9013901560011
experiment_01_baseline_ce_dice,21,1.94921513334424e-05,0.9295833754983748,1.6345843734412357,0.7757985923733952,0.5757163961127301,0.8710643420514262,0.7085026012770641,961.7612644420005
experiment_01_baseline_ce_dice,22,1.1498415359706427e-05,0.9185375215844338,1.6292405375118912,0.7743510373956026,0.5794306137808631,0.8700162154540432,0.7120318231406617,1007.1636307480003
experiment_01_baseline_ce_dice,23,5.6968174112696716e-06,0.9203385766248525,1.6318842234282658,0.7743471945339356,0.5796128874153823,0.8702228496380795,0.7129841843824181,1052.2244779000011
experiment_01_baseline_ce_dice,24,2.1788521534855743e-06,0.9062472744758084,1.6371802317685094,0.7826014763050376,0.5811631615845663,0.8757133809372326,0.7135548464884773,1097.1273121049999
experiment_01_baseline_ce_dice,25,1e-06,0.9008308041910207,1.6417559323639705,0.7814796648663491,0.5806157118410602,0.8748491216501031,0.7130010671439768,1143.2683539320005
