experiment,pixel_accuracy,mIoU,mean_Dice,ECE,AURC,mean_confidence,mean_inference_sec_per_image,train_time_sec,optimizer,loss_mode,learning_rate,batch_size,image_size,dropout,mc_samples,temperature,MC_samples,uncertainty_spearman
experiment_01_baseline_ce_dice,0.8032476251775568,0.40308592336398347,0.5173575534888045,0.0996596426150063,0.0689122756425399,0.9029073119163513,0.00316303256361359,1143.2683539320005,AdamW,ce_dice,0.0003,8,256,0.2,8,1.8807892799377441,8.0,0.40694270685290446
experiment_02_ablation_ce_only,0.8007722334428267,0.40301777174240005,0.5190171702233228,0.09177071198433126,0.07020249280116256,0.89250648021698,0.005039307118187769,1163.2422202000016,AdamW,ce_only,0.0003,8,256,0.2,0,,,
