class,IoU,Dice
Background / waterbody,0.7893130618913576,0.8822526126948741
Human divers,0.585657131778847,0.7386932774323486
Aquatic plants / sea-grass,0.1777895270671256,0.3019037323414625
Wrecks / ruins,0.7135394522430102,0.8328252393710486
Robots / instruments,0.0,0.0
Reefs / invertebrates,0.2714088886406375,0.4269419398677037
Fish / vertebrates,0.16633077057052573,0.28522058196091815
Sea-floor / rocks,0.5201033417476967,0.6842999781182275
