experiment,epoch,lr,train_loss,val_loss,train_miou,val_miou,train_dice,val_dice,elapsed_sec
experiment_02_ablation_ce_only,1,0.00029882114784651444,1.9765572066632857,1.6130605689410507,0.3537499525877511,0.4293061010735577,0.5012277408604215,0.5608737541037647,44.83619498000007
experiment_02_ablation_ce_only,2,0.00029530318258873034,1.6163076362254456,1.4692269440354973,0.4558801733657942,0.4848660043419668,0.6106928206357449,0.6342205849951447,92.31792079400111
experiment_02_ablation_ce_only,3,0.0002895015846402936,1.4403393409266976,1.3921130895614624,0.5097394453777636,0.5048725568015398,0.6616425947453508,0.651177288143514,141.94637534200047
experiment_02_ablation_ce_only,4,0.0002815078486665576,1.3318005718799852,1.3753633334718902,0.5487239248408344,0.5047213832604783,0.6976963958159786,0.6520551202525069,189.76520240900027
experiment_02_ablation_ce_only,5,0.00027144804065905466,1.2149396949673292,1.368539873895974,0.592579995464398,0.505599533013727,0.7359718740990087,0.6507697615787493,238.70146099700105
experiment_02_ablation_ce_only,6,0.00025948080979950103,1.1595503636028455,1.3281828493907535,0.6056334659093581,0.5282655168384502,0.7461473776786229,0.6756563324468301,284.6693055120013
experiment_02_ablation_ce_only,7,0.0002457948864674291,1.0818271599941371,1.3215713295443305,0.6317019436426293,0.5376572224001366,0.7666377562507685,0.6757696945962555,331.1259314580002
experiment_02_ablation_ce_only,8,0.00023060610584935994,1.0477046070631988,1.3441015625822132,0.6452141401939809,0.5227972652741917,0.7777743127155524,0.664274859118866,378.7557270460002
experiment_02_ablation_ce_only,9,0.00021415400408897832,1.0053917843362559,1.3239373379740222,0.6662945752374034,0.5553532699069038,0.7945960320145511,0.6951918548974009,424.6379053090004
experiment_02_ablation_ce_only,10,0.0001966980406590546,0.9674909248115113,1.375614466338322,0.6788376619274736,0.5303718457941875,0.8040497144522745,0.6699100504674813,470.9294474770013
experiment_02_ablation_ce_only,11,0.00017851350653056583,0.9307536068169967,1.3409697351784542,0.6923975166870862,0.5568561125591358,0.8132917329225201,0.6968804999476998,518.1923405810012
experiment_02_ablation_ce_only,12,0.00015988718266963235,0.8996289079974157,1.297354788615786,0.7113142618027082,0.5636014516734573,0.8264999407161593,0.7039698923323474,564.233269706001
experiment_02_ablation_ce_only,13,0.00014111281733036765,0.8821196045194354,1.315838180739304,0.7147243696692315,0.5520073835255699,0.8291615656198492,0.6908354335688763,610.1721103470009
experiment_02_ablation_ce_only,14,0.00012248649346943417,0.8610281303802633,1.332323183273447,0.728430634182821,0.567879250624509,0.8389029248093457,0.7038448774194523,657.5058080310009
experiment_02_ablation_ce_only,15,0.0001043019593409454,0.8478472891801633,1.3185946119242702,0.7300917225523125,0.5619959551517584,0.8398316943452867,0.6988797890609626,704.029795587001
experiment_02_ablation_ce_only,16,8.684599591102163e-05,0.8301296082342634,1.3382158690485462,0.7407776781613341,0.5684288853143066,0.8476370431779299,0.702783408079187,750.0260408130016
experiment_02_ablation_ce_only,17,7.039389415063997e-05,0.8109797809434973,1.3234995747434681,0.7477762618359041,0.5666832082326283,0.8518277481275643,0.7010625904304664,797.3384445190004
experiment_02_ablation_ce_only,18,5.520511353257088e-05,0.8050654441673563,1.338830629299427,0.7555578246393404,0.5701416043228789,0.8574777357935617,0.7053251205906619,843.1506266520009
experiment_02_ablation_ce_only,19,4.151919020049901e-05,0.7951516024074199,1.3589889818224414,0.7577650565911888,0.5706016310586819,0.8584821915570098,0.70589550608015,888.6940284290013
experiment_02_ablation_ce_only,20,2.9551959340945376e-05,0.7834872621927202,1.351447728173486,0.7658611571126837,0.5723261299595401,0.8643891715501462,0.7067518869139806,935.7268770010014
experiment_02_ablation_ce_only,21,1.94921513334424e-05,0.7878752258253394,1.3493215852770313,0.7642681700944541,0.5712421732219162,0.8635008524595297,0.7065138813187262,980.8937885830001
experiment_02_ablation_ce_only,22,1.1498415359706427e-05,0.7771273277561117,1.3507488945434833,0.7700123368670462,0.5729249840843594,0.867275500978816,0.7076150247552067,1026.3087325330016
experiment_02_ablation_ce_only,23,5.6968174112696716e-06,0.7792405756363957,1.3559837320755268,0.7715544922045311,0.5734554021188034,0.8682650953347648,0.707561953147469,1072.023222844
experiment_02_ablation_ce_only,24,2.1788521534855743e-06,0.7682171056729666,1.3518638960246383,0.7700743886211822,0.5742069675160674,0.8668698891005966,0.7080909734290526,1118.3561420840015
experiment_02_ablation_ce_only,25,1e-06,0.7734253495376303,1.3518804805032139,0.7742339473212847,0.5739720025856287,0.8699463651603598,0.7083479076696941,1163.2422202000016
